국가,ESG리스크점수,등급,주요_이슈,비고
대한민국,22,하,산업안전,"교육용 가상값 (점수 70 이상 상, 40~69 중, 40 미만 하)"
일본,18,하,특이사항 없음,"교육용 가상값 (점수 70 이상 상, 40~69 중, 40 미만 하)"
독일,15,하,특이사항 없음,"교육용 가상값 (점수 70 이상 상, 40~69 중, 40 미만 하)"
네덜란드,14,하,특이사항 없음,"교육용 가상값 (점수 70 이상 상, 40~69 중, 40 미만 하)"
미국,25,하,노동 관행,"교육용 가상값 (점수 70 이상 상, 40~69 중, 40 미만 하)"
이탈리아,24,하,특이사항 없음,"교육용 가상값 (점수 70 이상 상, 40~69 중, 40 미만 하)"
태국,49,중,노동 환경,"교육용 가상값 (점수 70 이상 상, 40~69 중, 40 미만 하)"
터키,58,중,배출량 데이터 신뢰도,"교육용 가상값 (점수 70 이상 상, 40~69 중, 40 미만 하)"
브라질,55,중,환경 규제 이행,"교육용 가상값 (점수 70 이상 상, 40~69 중, 40 미만 하)"
베트남,63,중,노동 환경,"교육용 가상값 (점수 70 이상 상, 40~69 중, 40 미만 하)"
인도네시아,66,중,환경 규제 이행,"교육용 가상값 (점수 70 이상 상, 40~69 중, 40 미만 하)"
중국,68,중,배출량 데이터 신뢰도,"교육용 가상값 (점수 70 이상 상, 40~69 중, 40 미만 하)"
인도,71,상,공급망 투명성,"교육용 가상값 (점수 70 이상 상, 40~69 중, 40 미만 하)"
러시아,88,상,제재 및 공급망 투명성,"교육용 가상값 (점수 70 이상 상, 40~69 중, 40 미만 하)"
미얀마,92,상,강제노동 우려,"교육용 가상값 (점수 70 이상 상, 40~69 중, 40 미만 하)"
