날짜,리스크유형,문서번호
2026-09-14,서류불일치,EXP-2026-0901
2026-09-14,서류불일치,EXP-2026-0902
2026-09-14,서류불일치,EXP-2026-0903
2026-09-15,원산지,EXP-2026-0904
2026-09-15,서류불일치,EXP-2026-0905
2026-09-15,원산지,EXP-2026-0906
2026-09-15,ESG,EXP-2026-0907
2026-09-15,ESG,EXP-2026-0908
2026-09-15,HS Code,EXP-2026-0909
2026-09-16,ESG,EXP-2026-0910
2026-09-16,서류불일치,EXP-2026-0911
2026-09-16,서류불일치,EXP-2026-0912
2026-09-17,HS Code,EXP-2026-0913
2026-09-18,원산지,EXP-2026-0914
2026-09-18,HS Code,EXP-2026-0915
2026-09-18,서류불일치,EXP-2026-0916
2026-09-19,서류불일치,EXP-2026-0917
2026-09-19,서류불일치,EXP-2026-0918
2026-09-20,원산지,EXP-2026-0919
2026-09-20,서류불일치,EXP-2026-0920
2026-09-20,원산지,EXP-2026-0921
2026-09-20,HS Code,EXP-2026-0922
2026-09-20,원산지,EXP-2026-0923
2026-09-20,ESG,EXP-2026-0924
2026-09-20,서류불일치,EXP-2026-0925
2026-09-20,HS Code,EXP-2026-0926
