set_id,line_no,item_group,inv_desc,pl_desc,hs_code,inv_qty,pl_qty,inv_unit,pl_qty_text,inv_amount,pl_amount,inv_net_kg,pl_net,pl_net_unit,inv_origin,pl_origin,energy_gj,power_mwh
d,c,d,s,s,s,c,c,d,s,c,c,c,c,d,d,d,c,c
,,,meta,meta,meta,,,,meta,,,,,,,,,
SET-01,1,철강,"Hot Rolled Steel Coil, 2.0mm x 1250mm, SS400","Hot Rolled Steel Coil, 2.0mm x 1250mm, SS400",7208.39,10,10,COILS,COILS,62000,62000,100000,100000,kg,REPUBLIC OF KOREA,REPUBLIC OF KOREA,5200,
SET-01,2,철강,"Hot Rolled Steel Coil, 2.5mm x 1250mm, SS400","Hot Rolled Steel Coil, 2.5mm x 1250mm, SS400",7208.39,6,6,COILS,COILS,37800,37800,60000,60000,kg,REPUBLIC OF KOREA,REPUBLIC OF KOREA,5200,
SET-02,1,알루미늄,"Aluminum Extruded Profile 6063-T5, 40mm x 40mm","Aluminum Extruded Profile 6063-T5, 40mm x 40mm",7604.29,50,50,BUNDLES,BUNDLES,92500,92500,25000,25000,kg,REPUBLIC OF KOREA,REPUBLIC OF KOREA,,
SET-02,2,알루미늄,"Aluminum Extruded Profile 6063-T5, 60mm x 30mm","Aluminum Extruded Profile 6063-T5, 60mm x 30mm",7604.29,30,32,BUNDLES,BUNDLES,51000,51000,12000,12800,kg,REPUBLIC OF KOREA,REPUBLIC OF KOREA,,
SET-03,1,비료,"Urea Granular 46% N, 50kg PP bags","Urea Granular 46% N, 50kg PP bags",3102.10,2000,2000,BAGS,BAGS,43000,43000,100000,100000,kg,REPUBLIC OF KOREA,REPUBLIC OF KOREA,,120
SET-03,2,비료,"Urea Prilled 46% N, 50kg PP bags","Urea Prilled 46% N, 50kg PP bags",3102.10,1000,1000,BAGS,BAGS,20000,25000,50000,50000,kg,REPUBLIC OF KOREA,REPUBLIC OF KOREA,,120
SET-04,1,알루미늄,"Aluminum Alloy Sheet 5052-H32, 2.0 x 1000 x 2000 mm",AL. PLATE 5052 H32 2.0T x 1000W x 2000L,7606.12,20,20,PALLETS,PALLETS,82000,82000,20000,20000,kg,REPUBLIC OF KOREA,KOREA,,
SET-04,2,알루미늄,"Aluminum Alloy Sheet 5052-H32, 3.0 x 1000 x 2000 mm",AL. PLATE 5052 H32 3.0T x 1000W x 2000L,7606.12,10,10,PALLETS,PALLETS,44000,44000,10500,10500,kg,REPUBLIC OF KOREA,CHINA,,
SET-05,1,철강,"Welded (ERW) Steel Pipe, 114.3mm x 4.5mm x 6m","Welded (ERW) Steel Pipe, 114.3mm x 4.5mm x 6m",7306.30,400,40,PCS,BUNDLES (10 PCS/BDL),51400,51550,29000,29090,kg,REPUBLIC OF KOREA,REPUBLIC OF KOREA,,
SET-05,2,철강,"Welded (ERW) Steel Pipe, 60.3mm x 3.2mm x 6m","Seamless Steel Pipe, 60.3mm x 3.2mm x 6m",7306.30,600,600,PCS,PCS,37200,37200,16200,16200,kg,REPUBLIC OF KOREA,REPUBLIC OF KOREA,,
